,score,decoding_accuracy,measure,dataset
0,0.13667941093444824,0.13004484304932734,cka,MajajHong2015
1,0.13667941093444824,0.17937219730941703,cka,MajajHong2015
2,0.24990715086460114,0.27802690582959644,cka,MajajHong2015
3,0.400671124458313,0.3542600896860987,cka,MajajHong2015
4,0.5573602914810181,0.4304932735426008,cka,MajajHong2015
5,0.6857073903083801,0.506726457399103,cka,MajajHong2015
6,0.7750619649887085,0.5291479820627801,cka,MajajHong2015
7,0.8338972926139832,0.6278026905829596,cka,MajajHong2015
8,0.8728894591331482,0.663677130044843,cka,MajajHong2015
9,0.8993121981620789,0.6905829596412555,cka,MajajHong2015
10,0.9176302552223206,0.7130044843049327,cka,MajajHong2015
11,0.9306376576423645,0.7892376681614349,cka,MajajHong2015
12,0.9401382803916931,0.8026905829596412,cka,MajajHong2015
13,0.9473143815994263,0.8385650224215245,cka,MajajHong2015
14,0.9529397487640381,0.8475336322869954,cka,MajajHong2015
15,0.9575091600418091,0.8475336322869954,cka,MajajHong2015
16,0.9613350033760071,0.8923766816143497,cka,MajajHong2015
17,0.9646124243736267,0.8026905829596412,cka,MajajHong2015
18,0.967457115650177,0.8609865470852016,cka,MajajHong2015
19,0.9699479341506958,0.9013452914798206,cka,MajajHong2015
20,0.9721401929855347,0.9058295964125558,cka,MajajHong2015
21,0.974074125289917,0.9058295964125558,cka,MajajHong2015
22,0.9757903814315796,0.8699551569506726,cka,MajajHong2015
23,0.9773241877555847,0.9192825112107623,cka,MajajHong2015
24,0.9787081480026245,0.8878923766816141,cka,MajajHong2015
25,0.9799677133560181,0.8834080717488788,cka,MajajHong2015
26,0.9811267256736755,0.9192825112107623,cka,MajajHong2015
27,0.9822010397911072,0.9147982062780268,cka,MajajHong2015
28,0.9832030534744263,0.9282511210762332,cka,MajajHong2015
29,0.9841410517692566,0.9103139013452913,cka,MajajHong2015
30,0.9850208163261414,0.9417040358744393,cka,MajajHong2015
31,0.985841691493988,0.9237668161434976,cka,MajajHong2015
32,0.986611545085907,0.9237668161434975,cka,MajajHong2015
33,0.9873279929161072,0.9237668161434976,cka,MajajHong2015
34,0.987993597984314,0.9103139013452916,cka,MajajHong2015
35,0.9886111617088318,0.9551569506726456,cka,MajajHong2015
36,0.9891829490661621,0.9641255605381165,cka,MajajHong2015
37,0.9897123575210571,0.9461883408071748,cka,MajajHong2015
38,0.9902039766311646,0.937219730941704,cka,MajajHong2015
0,0.30673198241419364,0.1911111111111111,procrustes-angular-score,MajajHong2015
1,0.30673198241419364,0.20888888888888887,procrustes-angular-score,MajajHong2015
2,0.35602199023423475,0.35111111111111104,procrustes-angular-score,MajajHong2015
3,0.4043677917950208,0.44888888888888884,procrustes-angular-score,MajajHong2015
4,0.45116419477570424,0.5644444444444444,procrustes-angular-score,MajajHong2015
5,0.496038801392532,0.6222222222222221,procrustes-angular-score,MajajHong2015
6,0.5387792597632552,0.6622222222222222,procrustes-angular-score,MajajHong2015
7,0.5792851430641288,0.76,procrustes-angular-score,MajajHong2015
8,0.6175307321325377,0.7777777777777777,procrustes-angular-score,MajajHong2015
9,0.6535334255081345,0.8399999999999999,procrustes-angular-score,MajajHong2015
10,0.6873323664445081,0.8399999999999999,procrustes-angular-score,MajajHong2015
11,0.7189767037550255,0.8844444444444443,procrustes-angular-score,MajajHong2015
12,0.7485162872491387,0.8799999999999999,procrustes-angular-score,MajajHong2015
13,0.7759952845053274,0.8933333333333332,procrustes-angular-score,MajajHong2015
14,0.8014524289933898,0.8977777777777775,procrustes-angular-score,MajajHong2015
15,0.8249218456341497,0.9199999999999998,procrustes-angular-score,MajajHong2015
16,0.8464312145816881,0.9733333333333332,procrustes-angular-score,MajajHong2015
17,0.8660023213480041,0.9688888888888889,procrustes-angular-score,MajajHong2015
18,0.88365322111149,0.9999999999999997,procrustes-angular-score,MajajHong2015
19,0.8993975891948754,0.9733333333333333,procrustes-angular-score,MajajHong2015
20,0.9132401660922416,0.9822222222222221,procrustes-angular-score,MajajHong2015
21,0.9251747063493634,0.9955555555555554,procrustes-angular-score,MajajHong2015
22,0.9351908222766014,0.9644444444444443,procrustes-angular-score,MajajHong2015
23,0.9432897363913576,0.9955555555555554,procrustes-angular-score,MajajHong2015
24,0.9495176012912213,1.0355555555555553,procrustes-angular-score,MajajHong2015
25,0.9540104778045726,0.9644444444444443,procrustes-angular-score,MajajHong2015
26,0.9570244838395943,0.9955555555555554,procrustes-angular-score,MajajHong2015
27,0.9589198897610539,0.9955555555555554,procrustes-angular-score,MajajHong2015
28,0.9601026413392136,0.9955555555555554,procrustes-angular-score,MajajHong2015
29,0.9609640974136462,0.9733333333333332,procrustes-angular-score,MajajHong2015
30,0.9618371067342283,0.9822222222222221,procrustes-angular-score,MajajHong2015
31,0.9629653584352769,1.0133333333333332,procrustes-angular-score,MajajHong2015
32,0.9644943802514845,0.9822222222222221,procrustes-angular-score,MajajHong2015
33,0.9664823182070678,0.9688888888888886,procrustes-angular-score,MajajHong2015
34,0.9689122771495715,0.9688888888888888,procrustes-angular-score,MajajHong2015
35,0.9716999783825846,0.9422222222222221,procrustes-angular-score,MajajHong2015
36,0.9747050975789243,0.9999999999999999,procrustes-angular-score,MajajHong2015
37,0.9777377520710142,1.0088888888888887,procrustes-angular-score,MajajHong2015
38,0.9805635560208745,0.9822222222222221,procrustes-angular-score,MajajHong2015
39,0.9829257539385043,0.9866666666666665,procrustes-angular-score,MajajHong2015
40,0.9846009619243833,0.9955555555555554,procrustes-angular-score,MajajHong2015
