,score,decoding_accuracy,measure,dataset
8,0.6422570011171038,0.8755980861244019,procrustes-angular-score,FreemanZiemba2013
9,0.6785500973808488,0.8899521531100477,procrustes-angular-score,FreemanZiemba2013
10,0.7126123631533914,0.9043062200956936,procrustes-angular-score,FreemanZiemba2013
11,0.744468295978831,0.9473684210526314,procrustes-angular-score,FreemanZiemba2013
12,0.7741460261228327,0.9569377990430621,procrustes-angular-score,FreemanZiemba2013
13,0.8016721320178807,0.9712918660287081,procrustes-angular-score,FreemanZiemba2013
14,0.8270676096328662,1.0095693779904304,procrustes-angular-score,FreemanZiemba2013
15,0.8503433802209086,0.9760765550239232,procrustes-angular-score,FreemanZiemba2013
16,0.8714965971154356,1.0287081339712918,procrustes-angular-score,FreemanZiemba2013
17,0.8905046471076603,0.9760765550239233,procrustes-angular-score,FreemanZiemba2013
18,0.9073175999609727,1.0095693779904304,procrustes-angular-score,FreemanZiemba2013
19,0.9218570282330406,1.0191387559808613,procrustes-angular-score,FreemanZiemba2013
20,0.9340211279803754,1.0047846889952152,procrustes-angular-score,FreemanZiemba2013
21,0.9437012496861992,0.9904306220095692,procrustes-angular-score,FreemanZiemba2013
22,0.9508445178285382,1.0191387559808613,procrustes-angular-score,FreemanZiemba2013
23,0.9555668583722015,1.014354066985646,procrustes-angular-score,FreemanZiemba2013
24,0.9582567326527203,1.0,procrustes-angular-score,FreemanZiemba2013
25,0.9595574130982796,0.9999999999999999,procrustes-angular-score,FreemanZiemba2013
26,0.9601912614524343,1.019138755980861,procrustes-angular-score,FreemanZiemba2013
27,0.9607692377692627,0.9617224880382774,procrustes-angular-score,FreemanZiemba2013
28,0.9616960864809686,0.9999999999999999,procrustes-angular-score,FreemanZiemba2013
29,0.9631722017057386,1.004784688995215,procrustes-angular-score,FreemanZiemba2013
30,0.9652485286667164,1.0287081339712918,procrustes-angular-score,FreemanZiemba2013
31,0.9678802034315308,1.0287081339712918,procrustes-angular-score,FreemanZiemba2013
32,0.9709494261057634,1.0478468899521531,procrustes-angular-score,FreemanZiemba2013
33,0.9742672994117043,0.9952153110047847,procrustes-angular-score,FreemanZiemba2013
