,score,decoding_accuracy,measure,dataset
0,0.08456746800100479,0.17227198731771343,procrustes-angular-score,Hatsopoulos2007
1,0.08456746800100479,0.16758431419342193,procrustes-angular-score,Hatsopoulos2007
2,0.13416776845270728,0.22092151130581528,procrustes-angular-score,Hatsopoulos2007
3,0.182903217097799,0.29342702997553893,procrustes-angular-score,Hatsopoulos2007
4,0.2302520220601516,0.3801063675647113,procrustes-angular-score,Hatsopoulos2007
5,0.2758801742463528,0.45980107219868915,procrustes-angular-score,Hatsopoulos2007
6,0.3195948217855884,0.5323023293473907,procrustes-angular-score,Hatsopoulos2007
7,0.3613071668114711,0.6051146775307044,procrustes-angular-score,Hatsopoulos2007
8,0.401000497531781,0.6702477648322239,procrustes-angular-score,Hatsopoulos2007
9,0.4387053465687831,0.7243477742075703,procrustes-angular-score,Hatsopoulos2007
10,0.4744810634731912,0.7584740345524125,procrustes-angular-score,Hatsopoulos2007
11,0.5084026985037803,0.7920761278115386,procrustes-angular-score,Hatsopoulos2007
12,0.5405517398797097,0.8095696716071902,procrustes-angular-score,Hatsopoulos2007
13,0.5710097081135459,0.8408534974303028,procrustes-angular-score,Hatsopoulos2007
14,0.5998541004206237,0.8592973604138789,procrustes-angular-score,Hatsopoulos2007
15,0.6271561124198246,0.8729470122476115,procrustes-angular-score,Hatsopoulos2007
16,0.6529796361642094,0.8828039103716898,procrustes-angular-score,Hatsopoulos2007
17,0.677381339463752,0.8928909306309608,procrustes-angular-score,Hatsopoulos2007
18,0.7004115248985222,0.9100094605766692,procrustes-angular-score,Hatsopoulos2007
19,0.7221155746254858,0.9267955918826547,procrustes-angular-score,Hatsopoulos2007
20,0.7425357090170209,0.932442107236915,procrustes-angular-score,Hatsopoulos2007
21,0.7617127926760967,0.9356425095244996,procrustes-angular-score,Hatsopoulos2007
22,0.7796879998746834,0.9368740890998816,procrustes-angular-score,Hatsopoulos2007
23,0.7965042809023696,0.9523221028049332,procrustes-angular-score,Hatsopoulos2007
24,0.8122076463437031,0.9453119007236064,procrustes-angular-score,Hatsopoulos2007
25,0.8268482171803733,0.9476173835965533,procrustes-angular-score,Hatsopoulos2007
26,0.8404806856238698,0.9566560696843917,procrustes-angular-score,Hatsopoulos2007
27,0.8531638938649106,0.9614076656240145,procrustes-angular-score,Hatsopoulos2007
28,0.8649593625911794,0.9577129268978685,procrustes-angular-score,Hatsopoulos2007
29,0.8759287437477488,0.9617017105745383,procrustes-angular-score,Hatsopoulos2007
