,score,decoding_accuracy,measure,dataset
0,0.3074689992652174,0.1415929203539823,procrustes-angular-score,MajajHong2015
1,0.3074689992652174,0.15486725663716816,procrustes-angular-score,MajajHong2015
2,0.35689795428422855,0.23008849557522126,procrustes-angular-score,MajajHong2015
3,0.4053682090928554,0.4690265486725664,procrustes-angular-score,MajajHong2015
4,0.45231675521982173,0.5796460176991152,procrustes-angular-score,MajajHong2015
5,0.4973858255961846,0.6194690265486725,procrustes-angular-score,MajajHong2015
6,0.5403534864656276,0.6902654867256638,procrustes-angular-score,MajajHong2015
7,0.5811042481658635,0.7654867256637169,procrustes-angular-score,MajajHong2015
8,0.6195966114832302,0.8584070796460178,procrustes-angular-score,MajajHong2015
9,0.6558323884042955,0.8716814159292037,procrustes-angular-score,MajajHong2015
10,0.6898406354462248,0.8938053097345133,procrustes-angular-score,MajajHong2015
11,0.7216666519419974,0.9424778761061948,procrustes-angular-score,MajajHong2015
12,0.7513602941002181,0.8893805309734514,procrustes-angular-score,MajajHong2015
13,0.7789662263446511,0.9292035398230089,procrustes-angular-score,MajajHong2015
14,0.804520564747759,0.9778761061946903,procrustes-angular-score,MajajHong2015
15,0.8280540255486075,0.9601769911504426,procrustes-angular-score,MajajHong2015
16,0.849592866562258,0.9601769911504426,procrustes-angular-score,MajajHong2015
17,0.8691565803297479,0.9557522123893806,procrustes-angular-score,MajajHong2015
18,0.886755940763981,0.9646017699115046,procrustes-angular-score,MajajHong2015
19,0.9023915796907186,0.9911504424778762,procrustes-angular-score,MajajHong2015
20,0.916051357426114,0.9690265486725665,procrustes-angular-score,MajajHong2015
21,0.9277062941439979,0.9734513274336284,procrustes-angular-score,MajajHong2015
22,0.9373182069589134,0.9778761061946903,procrustes-angular-score,MajajHong2015
23,0.9448787677142974,0.9601769911504426,procrustes-angular-score,MajajHong2015
24,0.9504699344335779,0.9601769911504426,procrustes-angular-score,MajajHong2015
25,0.9543159952012855,0.9867256637168142,procrustes-angular-score,MajajHong2015
26,0.9567736083402554,0.9734513274336282,procrustes-angular-score,MajajHong2015
27,0.9582769579764976,1.0,procrustes-angular-score,MajajHong2015
28,0.9592731269042698,0.9646017699115044,procrustes-angular-score,MajajHong2015
29,0.9601582819883603,0.9867256637168141,procrustes-angular-score,MajajHong2015
30,0.961233490432516,0.9734513274336283,procrustes-angular-score,MajajHong2015
31,0.9626831908660669,0.9778761061946903,procrustes-angular-score,MajajHong2015
32,0.9645851483249623,0.9646017699115046,procrustes-angular-score,MajajHong2015
33,0.9669319555420166,0.9778761061946903,procrustes-angular-score,MajajHong2015
34,0.9696494278629093,0.9646017699115044,procrustes-angular-score,MajajHong2015
35,0.9726095037955379,0.9690265486725664,procrustes-angular-score,MajajHong2015
36,0.9756392924865998,0.9690265486725664,procrustes-angular-score,MajajHong2015
37,0.9785307356378347,1.0221238938053099,procrustes-angular-score,MajajHong2015
38,0.9810635452114492,0.9513274336283186,procrustes-angular-score,MajajHong2015
39,0.9830493363184373,0.9867256637168142,procrustes-angular-score,MajajHong2015
40,0.9843901401452811,0.9778761061946903,procrustes-angular-score,MajajHong2015
41,0.9851278786151076,0.9778761061946902,procrustes-angular-score,MajajHong2015
42,0.9854534788054667,0.9646017699115045,procrustes-angular-score,MajajHong2015
43,0.9856425159549979,0.9823008849557523,procrustes-angular-score,MajajHong2015
44,0.985945617081174,0.9690265486725662,procrustes-angular-score,MajajHong2015
45,0.9865178578208578,0.9513274336283185,procrustes-angular-score,MajajHong2015
46,0.9874137058660677,0.9867256637168142,procrustes-angular-score,MajajHong2015
47,0.9886012617785248,0.9734513274336283,procrustes-angular-score,MajajHong2015
48,0.9899482371414978,0.9778761061946903,procrustes-angular-score,MajajHong2015
49,0.9912194617138993,0.9646017699115046,procrustes-angular-score,MajajHong2015
0,0.14091670513153076,0.16289592760180993,cka,MajajHong2015
1,0.14091670513153076,0.17647058823529413,cka,MajajHong2015
2,0.25686904788017273,0.2986425339366515,cka,MajajHong2015
3,0.4102197587490082,0.3891402714932127,cka,MajajHong2015
4,0.5691258907318115,0.48868778280542985,cka,MajajHong2015
5,0.6985539793968201,0.5248868778280542,cka,MajajHong2015
6,0.7871561050415039,0.6018099547511312,cka,MajajHong2015
7,0.8439804911613464,0.6470588235294118,cka,MajajHong2015
8,0.8806488513946533,0.7149321266968326,cka,MajajHong2015
9,0.9049767851829529,0.751131221719457,cka,MajajHong2015
10,0.9215835332870483,0.7918552036199094,cka,MajajHong2015
11,0.9332508444786072,0.7873303167420815,cka,MajajHong2015
12,0.9417349100112915,0.8099547511312217,cka,MajajHong2015
13,0.948174238204956,0.8099547511312217,cka,MajajHong2015
14,0.9532910585403442,0.846153846153846,cka,MajajHong2015
15,0.9575356245040894,0.828054298642534,cka,MajajHong2015
16,0.9611753821372986,0.8597285067873304,cka,MajajHong2015
17,0.9643591642379761,0.9004524886877828,cka,MajajHong2015
18,0.9671719670295715,0.8687782805429864,cka,MajajHong2015
19,0.9696648716926575,0.8687782805429862,cka,MajajHong2015
20,0.9718719720840454,0.8868778280542986,cka,MajajHong2015
21,0.9738260507583618,0.9140271493212669,cka,MajajHong2015
22,0.9755601286888123,0.8823529411764705,cka,MajajHong2015
23,0.9771098494529724,0.8823529411764706,cka,MajajHong2015
24,0.9785071611404419,0.9321266968325793,cka,MajajHong2015
25,0.9797829985618591,0.9276018099547512,cka,MajajHong2015
26,0.9809604287147522,0.9230769230769231,cka,MajajHong2015
27,0.9820551872253418,0.9004524886877828,cka,MajajHong2015
28,0.983080267906189,0.9185520361990951,cka,MajajHong2015
29,0.9840401411056519,0.9547511312217193,cka,MajajHong2015
30,0.9849379062652588,0.9230769230769229,cka,MajajHong2015
31,0.9857733249664307,0.9230769230769229,cka,MajajHong2015
32,0.9865486025810242,0.9502262443438915,cka,MajajHong2015
33,0.9872642755508423,0.9140271493212668,cka,MajajHong2015
34,0.9879222512245178,0.9592760180995477,cka,MajajHong2015
35,0.9885285496711731,0.9683257918552035,cka,MajajHong2015
36,0.9890881776809692,0.9230769230769231,cka,MajajHong2015
37,0.9896065592765808,0.9592760180995474,cka,MajajHong2015
38,0.9900892376899719,0.9502262443438914,cka,MajajHong2015
